100 200
min 7 X1 + 9 X2 + 6 X3 + 6 X4 + 7 X5 + 9 X6 + 7 X7 + 7 X8 + 7 X9 + 8 X10 + 8 X11 + 8 X12 + 7 X13 + 9 X14 + 9 X15 + 7 X16 + 8 X17 + 8 X18 + 9 X19 + 8 X20 + 9 X21 + 8 X22 + 9 X23 + 6 X24 + 9 X25 + 8 X26 + 6 X27 + 8 X28 + 8 X29 + 9 X30 + 6 X31 + 9 X32 + 9 X33 + 6 X34 + 9 X35 + 6 X36 + 9 X37 + 7 X38 + 7 X39 + 7 X40 + 9 X41 + 9 X42 + 9 X43 + 6 X44 + 8 X45 + 8 X46 + 8 X47 + 7 X48 + 6 X49 + 7 X50 + 9 X51 + 6 X52 + 9 X53 + 8 X54 + 6 X55 + 8 X56 + 7 X57 + 6 X58 + 6 X59 + 9 X60 + 9 X61 + 6 X62 + 8 X63 + 8 X64 + 6 X65 + 7 X66 + 8 X67 + 6 X68 + 8 X69 + 6 X70 + 7 X71 + 8 X72 + 9 X73 + 6 X74 + 8 X75 + 8 X76 + 9 X77 + 6 X78 + 9 X79 + 9 X80 + 7 X81 + 8 X82 + 9 X83 + 6 X84 + 6 X85 + 9 X86 + 8 X87 + 7 X88 + 9 X89 + 9 X90 + 6 X91 + 9 X92 + 9 X93 + 8 X94 + 7 X95 + 6 X96 + 6 X97 + 6 X98 + 6 X99 + 8 X100
6 X1 + 3 X2 - 0 X3 + 9 X4 + 9 X5 + 9 X6 + 9 X7 + 4 X8 + 1 X9 - 0 X10 + 4 X11 + 5 X12 + 8 X13 + 1 X14 + 5 X15 + 1 X16 + 3 X17 + 6 X18 + 6 X19 + 2 X20 + 9 X21 + 5 X22 + 5 X23 + 2 X24 + 9 X25 + 1 X26 - 0 X27 + 9 X28 + 3 X29 + 4 X30 - 0 X31 + 1 X32 + 9 X33 - 0 X34 + 2 X35 + 9 X36 + 1 X37 + 2 X38 + 3 X39 + 5 X40 + 2 X41 + 9 X42 - 0 X43 + 3 X44 + 1 X45 + 5 X46 + 4 X47 + 4 X48 + 1 X49 + 2 X50 + 8 X51 - 0 X52 + 7 X53 + 6 X54 + 3 X55 + 9 X56 + 7 X57 + 5 X58 + 8 X59 + 2 X60 + 2 X61 - 0 X62 + 5 X63 + 1 X64 + 1 X65 + 7 X66 - 0 X67 + 4 X68 + 9 X69 + 6 X70 + 9 X71 + 4 X72 + 5 X73 + 9 X74 + 9 X75 + 8 X76 + 5 X77 + 5 X78 + 2 X79 + 8 X80 + 7 X81 + 3 X82 + 1 X83 + 7 X84 + 1 X85 + 6 X86 + 6 X87 + 8 X88 + 1 X89 + 4 X90 + 2 X91 + 3 X92 + 7 X93 + 7 X94 + 7 X95 - 0 X96 + 4 X97 + 7 X98 + 4 X99 + 6 X100 >= 215
4 X1 - 0 X2 + 3 X3 + 5 X4 + 1 X5 + 1 X6 + 2 X7 + 6 X8 + 6 X9 + 1 X10 + 3 X11 + 9 X12 + 4 X13 - 0 X14 - 0 X15 - 0 X16 + 6 X17 - 0 X18 + 3 X19 + 3 X20 + 2 X21 + 9 X22 - 0 X23 + 1 X24 + 6 X25 + 2 X26 + 5 X27 + 5 X28 + 6 X29 + 1 X30 + 1 X31 + 2 X32 + 3 X33 + 4 X34 + 8 X35 + 4 X36 + 7 X37 - 0 X38 - 0 X39 + 3 X40 + 3 X41 + 6 X42 + 4 X43 + 7 X44 + 6 X45 + 6 X46 + 9 X47 + 5 X48 + 6 X49 + 3 X50 - 0 X51 - 0 X52 + 2 X53 + 2 X54 + 1 X55 - 0 X56 + 4 X57 + 9 X58 + 5 X59 - 0 X60 + 2 X61 + 8 X62 + 3 X63 + 6 X64 + 4 X65 + 3 X66 + 2 X67 + 2 X68 + 5 X69 + 5 X70 + 7 X71 + 9 X72 + 1 X73 + 2 X74 + 8 X75 + 9 X76 + 8 X77 + 8 X78 + 6 X79 + 7 X80 + 3 X81 + 6 X82 + 9 X83 + 7 X84 + 8 X85 + 3 X86 + 7 X87 + 2 X88 + 2 X89 + 4 X90 + 5 X91 + 4 X92 + 3 X93 - 0 X94 + 2 X95 + 9 X96 + 5 X97 + 5 X98 + 3 X99 - 0 X100 >= 162
1 X1 + 9 X2 + 3 X3 + 5 X4 - 0 X5 + 4 X6 + 5 X7 + 8 X8 + 1 X9 + 4 X10 + 1 X11 + 7 X12 + 4 X13 + 8 X14 + 8 X15 + 9 X16 + 7 X17 + 2 X18 + 1 X19 + 1 X20 + 9 X21 + 7 X22 + 6 X23 + 9 X24 - 0 X25 + 8 X26 + 4 X27 + 7 X28 + 1 X29 + 5 X30 + 1 X31 + 4 X32 + 6 X33 + 4 X34 + 1 X35 + 6 X36 - 0 X37 + 7 X38 + 6 X39 + 1 X40 + 3 X41 + 7 X42 + 1 X43 + 9 X44 + 7 X45 + 9 X46 + 8 X47 + 6 X48 + 3 X49 + 1 X50 + 8 X51 + 3 X52 + 9 X53 + 6 X54 + 2 X55 + 1 X56 + 4 X57 + 9 X58 - 0 X59 + 6 X60 + 6 X61 + 1 X62 + 2 X63 + 4 X64 + 7 X65 + 4 X66 + 1 X67 + 7 X68 + 3 X69 + 9 X70 + 1 X71 + 8 X72 + 7 X73 + 2 X74 + 8 X75 + 6 X76 + 3 X77 + 8 X78 + 3 X79 + 6 X80 - 0 X81 + 3 X82 + 9 X83 + 1 X84 + 9 X85 + 4 X86 + 2 X87 + 4 X88 + 5 X89 + 2 X90 + 2 X91 + 3 X92 + 5 X93 + 6 X94 + 7 X95 + 2 X96 + 2 X97 - 0 X98 + 9 X99 + 7 X100 >= 100
0 X1 + 6 X2 + 9 X3 + 2 X4 + 6 X5 + 5 X6 + 7 X7 + 4 X8 - 0 X9 + 4 X10 + 6 X11 + 3 X12 + 5 X13 + 7 X14 + 5 X15 + 1 X16 + 1 X17 + 9 X18 + 8 X19 + 5 X20 + 3 X21 + 1 X22 - 0 X23 + 9 X24 + 9 X25 + 2 X26 + 2 X27 + 9 X28 + 2 X29 + 1 X30 + 1 X31 + 4 X32 + 7 X33 - 0 X34 + 9 X35 + 5 X36 + 8 X37 + 6 X38 + 2 X39 + 8 X40 + 2 X41 + 8 X42 + 4 X43 + 8 X44 + 8 X45 + 1 X46 + 1 X47 + 9 X48 + 2 X49 - 0 X50 + 5 X51 + 5 X52 + 1 X53 + 7 X54 + 6 X55 + 2 X56 - 0 X57 - 0 X58 + 2 X59 + 4 X60 + 2 X61 + 3 X62 + 8 X63 + 1 X64 + 6 X65 + 7 X66 + 7 X67 + 4 X68 + 6 X69 + 9 X70 + 4 X71 + 8 X72 + 9 X73 - 0 X74 + 8 X75 + 7 X76 + 1 X77 - 0 X78 + 7 X79 + 3 X80 - 0 X81 + 4 X82 + 8 X83 + 3 X84 + 1 X85 + 7 X86 + 6 X87 + 3 X88 + 7 X89 - 0 X90 + 7 X91 + 1 X92 + 5 X93 + 8 X94 + 3 X95 + 1 X96 + 5 X97 + 2 X98 + 5 X99 + 3 X100 >= 181
0 X1 + 2 X2 - 0 X3 - 0 X4 - 0 X5 + 8 X6 + 4 X7 + 2 X8 + 7 X9 + 7 X10 + 2 X11 + 3 X12 + 8 X13 + 6 X14 + 6 X15 + 5 X16 + 2 X17 - 0 X18 + 4 X19 + 2 X20 + 9 X21 + 6 X22 + 7 X23 + 7 X24 + 1 X25 + 1 X26 + 5 X27 + 3 X28 + 6 X29 + 8 X30 + 4 X31 + 8 X32 + 2 X33 + 6 X34 + 1 X35 + 3 X36 + 6 X37 + 5 X38 + 5 X39 + 5 X40 + 4 X41 - 0 X42 + 8 X43 + 2 X44 + 8 X45 + 7 X46 + 9 X47 + 2 X48 + 7 X49 + 4 X50 + 6 X51 + 6 X52 - 0 X53 + 5 X54 + 6 X55 + 3 X56 + 6 X57 + 1 X58 + 6 X59 + 5 X60 + 1 X61 + 2 X62 + 5 X63 + 4 X64 + 8 X65 + 6 X66 + 9 X67 + 7 X68 + 3 X69 + 6 X70 + 2 X71 + 8 X72 + 6 X73 + 3 X74 + 2 X75 + 4 X76 - 0 X77 + 2 X78 + 8 X79 + 9 X80 + 6 X81 + 4 X82 + 7 X83 + 8 X84 - 0 X85 + 3 X86 + 1 X87 + 6 X88 + 6 X89 + 7 X90 + 3 X91 + 8 X92 + 1 X93 + 9 X94 + 2 X95 + 1 X96 + 7 X97 + 3 X98 + 8 X99 + 1 X100 >= 239
3 X1 + 1 X2 + 6 X3 + 8 X4 + 3 X5 + 2 X6 + 8 X7 + 7 X8 + 1 X9 + 9 X10 + 3 X11 + 7 X12 + 6 X13 + 3 X14 + 7 X15 - 0 X16 + 4 X17 + 6 X18 + 8 X19 + 3 X20 + 1 X21 + 6 X22 + 4 X23 - 0 X24 - 0 X25 + 6 X26 + 8 X27 + 5 X28 + 6 X29 + 1 X30 + 5 X31 + 9 X32 + 4 X33 + 3 X34 + 7 X35 + 7 X36 + 5 X37 + 7 X38 + 7 X39 + 8 X40 + 6 X41 - 0 X42 + 8 X43 + 5 X44 + 6 X45 + 5 X46 + 5 X47 - 0 X48 + 3 X49 + 5 X50 + 6 X51 + 5 X52 + 4 X53 - 0 X54 + 7 X55 + 4 X56 + 8 X57 + 7 X58 + 2 X59 + 5 X60 + 8 X61 + 7 X62 + 6 X63 + 2 X64 - 0 X65 + 4 X66 + 2 X67 + 7 X68 + 3 X69 + 9 X70 + 6 X71 + 2 X72 + 1 X73 + 4 X74 + 7 X75 + 9 X76 + 1 X77 + 2 X78 - 0 X79 + 7 X80 + 9 X81 + 8 X82 + 4 X83 + 3 X84 - 0 X85 + 1 X86 - 0 X87 + 9 X88 + 9 X89 + 2 X90 + 6 X91 + 9 X92 + 9 X93 + 2 X94 + 4 X95 + 1 X96 + 8 X97 + 8 X98 + 8 X99 + 2 X100 >= 279
6 X1 + 6 X2 - 0 X3 - 0 X4 + 3 X5 + 2 X6 + 4 X7 + 7 X8 + 2 X9 + 1 X10 + 6 X11 + 2 X12 + 7 X13 - 0 X14 + 2 X15 + 8 X16 - 0 X17 + 3 X18 + 9 X19 + 4 X20 + 9 X21 + 1 X22 + 5 X23 + 4 X24 + 5 X25 + 6 X26 + 2 X27 + 3 X28 + 4 X29 + 6 X30 + 2 X31 + 1 X32 + 2 X33 + 4 X34 + 3 X35 + 5 X36 + 6 X37 + 7 X38 + 2 X39 - 0 X40 - 0 X41 + 1 X42 + 2 X43 + 7 X44 + 1 X45 + 7 X46 + 8 X47 + 3 X48 - 0 X49 + 9 X50 + 9 X51 - 0 X52 - 0 X53 + 4 X54 + 4 X55 + 5 X56 - 0 X57 + 8 X58 + 8 X59 + 4 X60 + 7 X61 + 2 X62 + 5 X63 + 1 X64 + 7 X65 + 9 X66 + 9 X67 + 5 X68 + 8 X69 + 3 X70 + 6 X71 + 9 X72 + 4 X73 - 0 X74 + 8 X75 + 7 X76 + 7 X77 + 8 X78 - 0 X79 + 8 X80 + 8 X81 + 9 X82 - 0 X83 + 8 X84 + 3 X85 + 6 X86 + 4 X87 + 5 X88 + 4 X89 + 4 X90 - 0 X91 + 3 X92 + 9 X93 + 5 X94 + 5 X95 + 8 X96 + 6 X97 + 4 X98 + 3 X99 + 5 X100 >= 109
1 X1 + 6 X2 + 4 X3 + 2 X4 + 4 X5 + 1 X6 + 9 X7 + 3 X8 + 4 X9 + 9 X10 + 1 X11 + 5 X12 + 9 X13 + 1 X14 + 1 X15 + 7 X16 + 7 X17 + 6 X18 + 4 X19 + 4 X20 + 6 X21 + 7 X22 + 3 X23 + 4 X24 + 4 X25 + 1 X26 - 0 X27 - 0 X28 + 4 X29 + 5 X30 - 0 X31 + 6 X32 + 3 X33 + 4 X34 - 0 X35 + 8 X36 + 5 X37 + 1 X38 + 3 X39 + 9 X40 + 1 X41 + 6 X42 + 7 X43 + 2 X44 + 7 X45 + 8 X46 - 0 X47 + 7 X48 + 4 X49 + 4 X50 + 1 X51 + 1 X52 + 3 X53 + 4 X54 + 5 X55 + 8 X56 + 5 X57 + 7 X58 + 8 X59 + 1 X60 + 5 X61 + 8 X62 + 9 X63 + 8 X64 + 4 X65 + 1 X66 + 6 X67 + 2 X68 + 3 X69 + 1 X70 + 3 X71 + 6 X72 + 7 X73 - 0 X74 + 8 X75 + 7 X76 + 8 X77 - 0 X78 + 4 X79 + 3 X80 + 6 X81 + 5 X82 + 4 X83 - 0 X84 + 1 X85 + 1 X86 + 8 X87 + 6 X88 + 8 X89 + 8 X90 + 9 X91 + 3 X92 + 9 X93 + 1 X94 + 4 X95 + 3 X96 + 2 X97 + 2 X98 + 5 X99 + 5 X100 >= 224
9 X1 + 1 X2 + 3 X3 + 1 X4 + 2 X5 - 0 X6 - 0 X7 + 4 X8 + 6 X9 + 3 X10 + 1 X11 + 1 X12 + 9 X13 + 1 X14 + 2 X15 + 2 X16 + 1 X17 - 0 X18 - 0 X19 + 9 X20 + 2 X21 + 6 X22 + 8 X23 + 3 X24 + 2 X25 + 4 X26 + 5 X27 + 4 X28 + 1 X29 + 3 X30 + 8 X31 + 2 X32 + 6 X33 + 2 X34 + 4 X35 - 0 X36 + 4 X37 + 4 X38 + 5 X39 + 1 X40 + 9 X41 + 6 X42 + 4 X43 + 8 X44 + 9 X45 + 7 X46 + 2 X47 - 0 X48 + 9 X49 + 2 X50 + 9 X51 + 1 X52 - 0 X53 - 0 X54 + 4 X55 + 2 X56 + 6 X57 + 2 X58 + 9 X59 + 7 X60 + 5 X61 + 7 X62 - 0 X63 + 3 X64 + 1 X65 + 4 X66 + 4 X67 + 6 X68 - 0 X69 + 9 X70 + 9 X71 + 9 X72 + 5 X73 + 3 X74 + 9 X75 + 4 X76 + 2 X77 + 1 X78 + 6 X79 + 2 X80 + 5 X81 + 7 X82 + 5 X83 + 8 X84 + 7 X85 + 2 X86 + 2 X87 + 3 X88 + 4 X89 + 1 X90 + 1 X91 + 1 X92 + 1 X93 + 3 X94 + 4 X95 + 2 X96 + 9 X97 + 8 X98 - 0 X99 + 9 X100 >= 169
9 X1 - 0 X2 + 4 X3 + 5 X4 + 9 X5 - 0 X6 + 7 X7 + 2 X8 + 8 X9 + 1 X10 + 9 X11 + 6 X12 + 7 X13 + 7 X14 + 3 X15 + 1 X16 + 2 X17 + 9 X18 + 7 X19 + 5 X20 + 2 X21 + 8 X22 + 6 X23 + 5 X24 + 4 X25 + 1 X26 + 4 X27 + 5 X28 + 1 X29 + 5 X30 + 4 X31 + 3 X32 + 5 X33 + 1 X34 + 8 X35 + 6 X36 + 1 X37 + 7 X38 - 0 X39 - 0 X40 + 9 X41 + 9 X42 + 8 X43 + 8 X44 + 9 X45 + 1 X46 + 9 X47 + 3 X48 + 2 X49 + 6 X50 + 8 X51 + 4 X52 + 6 X53 + 5 X54 + 1 X55 - 0 X56 + 6 X57 + 5 X58 + 5 X59 + 9 X60 + 2 X61 + 2 X62 + 4 X63 + 7 X64 + 3 X65 + 2 X66 + 5 X67 + 6 X68 - 0 X69 + 5 X70 + 8 X71 + 1 X72 + 7 X73 + 6 X74 + 9 X75 + 6 X76 + 8 X77 + 8 X78 + 9 X79 + 2 X80 + 6 X81 + 7 X82 + 7 X83 + 2 X84 + 4 X85 + 8 X86 + 4 X87 + 2 X88 + 6 X89 + 2 X90 + 4 X91 + 8 X92 + 4 X93 + 8 X94 + 8 X95 + 7 X96 + 3 X97 + 3 X98 + 3 X99 + 3 X100 >= 101
